epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,26685.7,1.40446,1.17879,1.5883,0.81706,0.85103,0.89926,0.68771,1.2368,0.95984,1.62405,0.00065032,0.00065032,0.00065032
143,26855.7,1.3837,1.15094,1.57259,0.82359,0.84254,0.90009,0.69297,1.24753,0.95958,1.63339,0.00064784,0.00064784,0.00064784
144,27025.6,1.38681,1.14932,1.57222,0.81671,0.86032,0.90979,0.70784,1.24017,0.93985,1.62627,0.00064536,0.00064536,0.00064536
145,27195.7,1.37727,1.13481,1.56777,0.82926,0.84008,0.90688,0.70436,1.23931,0.95804,1.62027,0.00064288,0.00064288,0.00064288
146,27365.6,1.38111,1.14302,1.55266,0.81189,0.86618,0.90772,0.70165,1.23144,0.94755,1.61137,0.0006404,0.0006404,0.0006404
147,27535.5,1.37482,1.13559,1.56113,0.85131,0.82696,0.91008,0.70122,1.22648,0.94352,1.60947,0.00063792,0.00063792,0.00063792
148,27705.4,1.39433,1.16924,1.57119,0.82145,0.86252,0.91129,0.70369,1.22153,0.93063,1.60473,0.00063544,0.00063544,0.00063544
149,27875.5,1.36757,1.12992,1.55688,0.82371,0.85669,0.91256,0.70011,1.22846,0.93074,1.60313,0.00063296,0.00063296,0.00063296
150,28045.3,1.37966,1.13817,1.56551,0.83466,0.85677,0.91061,0.69554,1.22509,0.9135,1.59185,0.00063048,0.00063048,0.00063048
151,28215.3,1.37851,1.16148,1.57437,0.8386,0.84285,0.91059,0.71137,1.2097,0.91726,1.5981,0.000628,0.000628,0.000628
152,28385.4,1.36692,1.12809,1.55756,0.86093,0.82723,0.90854,0.71349,1.20404,0.91535,1.59239,0.00062552,0.00062552,0.00062552
153,28555.3,1.36755,1.13581,1.55983,0.84499,0.83934,0.90715,0.70688,1.20164,0.91012,1.58764,0.00062304,0.00062304,0.00062304
154,28725.4,1.37118,1.14274,1.55812,0.82232,0.86915,0.90859,0.71168,1.2047,0.92752,1.58426,0.00062056,0.00062056,0.00062056
155,28895.2,1.36566,1.15258,1.5577,0.86388,0.81631,0.90212,0.69092,1.18852,0.92379,1.57674,0.00061808,0.00061808,0.00061808
156,29065.1,1.38458,1.15496,1.56242,0.86746,0.83366,0.90961,0.7034,1.1874,0.89819,1.57363,0.0006156,0.0006156,0.0006156
157,29235.1,1.36514,1.14518,1.55569,0.82162,0.86487,0.91428,0.7127,1.18083,0.89195,1.56237,0.00061312,0.00061312,0.00061312
158,29405,1.37167,1.13353,1.55436,0.80886,0.88262,0.91688,0.71792,1.17178,0.88861,1.56299,0.00061064,0.00061064,0.00061064
159,29575,1.36313,1.13774,1.56015,0.84139,0.86156,0.91255,0.70976,1.17912,0.88275,1.56669,0.00060816,0.00060816,0.00060816
160,29744.9,1.3558,1.10511,1.54999,0.82732,0.85732,0.91075,0.70729,1.17326,0.88796,1.56175,0.00060568,0.00060568,0.00060568
161,29914.8,1.35775,1.14413,1.55418,0.83587,0.8691,0.9086,0.70937,1.1719,0.88095,1.5575,0.0006032,0.0006032,0.0006032
162,30084.8,1.34989,1.13292,1.55227,0.84767,0.87093,0.91432,0.71629,1.16816,0.87937,1.55462,0.00060072,0.00060072,0.00060072
163,30254.7,1.34574,1.10081,1.52581,0.86477,0.87161,0.9146,0.71175,1.16411,0.86878,1.54127,0.00059824,0.00059824,0.00059824
164,30424.7,1.34262,1.12823,1.53592,0.839,0.87899,0.91672,0.71943,1.15921,0.85277,1.53541,0.00059576,0.00059576,0.00059576
165,30594.8,1.34159,1.09645,1.52778,0.8146,0.88209,0.92079,0.7187,1.17205,0.84367,1.53848,0.00059328,0.00059328,0.00059328
166,30764.7,1.35135,1.13423,1.54462,0.83249,0.87645,0.91973,0.72032,1.15833,0.83482,1.53011,0.0005908,0.0005908,0.0005908
167,30934.8,1.34726,1.12355,1.53731,0.84726,0.86329,0.91806,0.72191,1.14839,0.82967,1.52741,0.00058832,0.00058832,0.00058832
168,31104.8,1.34275,1.10991,1.52667,0.83896,0.8648,0.92123,0.72746,1.14687,0.82814,1.52694,0.00058584,0.00058584,0.00058584
